EventID	Description	Category
20002	"Dutch actress Sylvia Kristel - the first star of adult cinema - dies."	"Arts and culture"
20002	"Emmanuelle star Sylvia Kristel dies, The Dutch actress Sylvia Kristel"	"Arts and culture"
20003	"who win the Golden Dagger?"	"Arts and culture"
20003	"Who won Golden Dagger this time"	"Arts and culture"
20003	"Golden Dagger winner"	"Arts and culture"
20003	"Veteran Irish writer Gene Kerrigan wins the Golden Dagger. "	"Arts and culture"
20003	"irish writer Gene Kerrigan"	"Arts and culture"
20003	" Golden Dagger."	"Arts and culture"
20003	"gene kerrigan golden dagger"	"Arts and culture"
20004	"Newsweek no more print"	"Business and economy"
20004	"American weekly news magazine Newsweek  cease print publication on December 31"	"Business and economy"
20004	"Newsweek cease print publication"	"Business and economy"
20004	"magazine Newsweek announces it will cease print publication on December 31 "	"Business and economy"
20004	"American weekly news magazine Newsweek announces it will cease print publication"	"Business and economy"
20004	" Newsweek announces it will cease print publication "	"Business and economy"
20004	"Newsweek stops print edition"	"Business and economy"
20004	"Newsweek announces it will cease print publication."	"Business and economy"
20004	"American weekly news magazine Newsweek announces it will cease print publication on December 31 and will move to an online-only format."	"Business and economy"
20004	"American weekly news magazine Newsweek announces it will cease print publication."	"Business and economy"
20004	"Newsweek announces it will cease print publication on December 31 "	"Business and economy"
20004	"Newsweek goes online only"	"Business and economy"
20004	"Newsweek announces it will cease print publication on December 31"	"Business and economy"
20004	" Newsweek announces it will cease print publication"	"Business and economy"
20004	"newsweek online-only publication december 31"	"Business and economy"
20004	"Newsweek announces it will cease print"	"Business and economy"
20004	"what announces made by American weekly news magazine Newsweek?"	"Business and economy"
20004	"Newsweek announces it will cease print publication."	"Business and economy"
20004	"American news magzine newsweek online only"	"Business and economy"
20004	"Newsweek announces it will cease print publication on December 31"	"Business and economy"
20004	"American weekly news magazine "	"Business and economy"
20004	"Newsweek ends print edition"	"Business and economy"
20004	"news magazine Newsweek will cease print publication "	"Business and economy"
20004	"newsweek online onlyno print edition"	"Business and economy"
20004	"Newsweek announces it will cease print publication"	"Business and economy"
20004	"Newsweek to cease print"	"Business and economy"
20004	"Newsweek announces it will cease print publication on December 31 "	"Business and economy"
20004	"Newsweek to stop print on December 31"	"Business and economy"
20004	"newsweek to cease print publication "	"Business and economy"
20004	"Newsweek announces it will cease print publication"	"Business and economy"
20004	"newsweek print version"	"Business and economy"
20004	"Newsweek print publication online-only "	"Business and economy"
20004	"newsweek cease print publication"	"Business and economy"
20004	"American weekly news magazine Newsweek announces"	"Business and economy"
20005	"Google stock trading suspended"	"Business and economy"
20005	"google early stock release"	"Business and economy"
20005	"Trading of Google stock suspended"	"Business and economy"
20005	"Fall in google stock on NASDAQ,trading suspended"	"Business and economy"
20005	"Trading of Google stock temporarily suspended"	"Business and economy"
20005	"Google stock trading stop on NASDAQ 9% down"	"Business and economy"
20005	"Google stock on NASDAQ is temporarily suspended"	"Business and economy"
20005	" Google stock on NASDAQ is temporarily suspended "	"Business and economy"
20005	"NASDAQ trading suspended"	"Business and economy"
20005	"Google stock on NASDAQ is temporarily suspended "	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended after it drops 9%"	"Business and economy"
20005	"NASDAQ is temporarily suspended "	"Business and economy"
20005	"Trading of Google stock temporarily suspended"	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended "	"Business and economy"
20005	" NASDAQ is temporarily suspended"	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended"	"Business and economy"
20005	"Trading of Google stock on NASDAQ."	"Business and economy"
20005	"Google stock suspended decline"	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended "	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended"	"Business and economy"
20005	"Sudden drop in Google stock"	"Business and economy"
20005	"Google shares suspended"	"Business and economy"
20005	"Trading of Google stock on NASDAQ"	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended"	"Business and economy"
20005	"Google stock on NASDAQ "	"Business and economy"
20005	"Trading of Google stock on NASDAQ is temporarily suspended"	"Business and economy"
20005	"Google stock on NASDAQ."	"Business and economy"
20005	"Trading of Google stock on NASDAQ."	"Business and economy"
20005	"Trading of Google stock"	"Business and economy"
20005	" NASDAQ is temporarily suspended "	"Business and economy"
20006	"Anti-austerity protests in Greece. "	"Politics and elections"
20006	"anti-austerity protests in Greece."	"Politics and elections"
20006	"greek anti-austerity protests"	"Politics and elections"
20006	"anti-austerity protests Greece"	"Politics and elections"
20006	"Why did tens of thousands of workers participate in anti-austerity protests in Greece?"	"Politics and elections"
20006	"anti-austerity protests in Greece. "	"Politics and elections"
20006	"Greece anti-austerity protest"	"Politics and elections"
20006	"anti-austerity protests in Greece. "	"Politics and elections"
20006	"Greek Anti-Austerity Protests"	"Politics and elections"
20006	"participate in anti-austerity protests"	"Politics and elections"
20006	"Tens of thousands of workers participate in anti-austerity protests "	"Politics and elections"
20006	"workers participate in anti-austerity protests in Greece"	"Politics and elections"
20006	"Anti-austerity protests in Greece."	"Politics and elections"
20006	"Greece anti-austerity protests"	"Politics and elections"
20006	"anti-austerity protests greece"	"Politics and elections"
20006	" anti-austerity protests in Greece."	"Politics and elections"
20006	"anti austerity Greece"	"Politics and elections"
20006	" participate in anti-austerity "	"Politics and elections"
20006	"greece anti-austerity protests"	"Politics and elections"
20006	"where people participate in anti-austerity protests"	"Politics and elections"
20006	"Tens of thousands of workers participate in anti-austerity protests in Greece. "	"Politics and elections"
20006	"Anti-austerity protests in Greece"	"Politics and elections"
20007	"sexual abuse by scout leaders"	"Law and Crime"
20007	"boy scouts sexual abuse"	"Law and Crime"
20007	"Boy Scouts of America release documents containing over 15,000 pages"	"Law and Crime"
20007	"Boy Scouts of America release documents containing over 15,000 pages"	"Law and Crime"
20007	"Boy Scouts Sexual Abuse Scout Leaders 1965-1985"	"Law and Crime"
20007	"allegations of sexual abuse by over 1200 scout leaders between 1965-1985"	"Law and Crime"
20007	"Sex Abuse of boy scout"	"Law and Crime"
20007	"Sexual abuse between 1965-1985 in America"	"Law and Crime"
20007	"1200 scout leaders between 1965-1985"	"Law and Crime"
20007	" America release documents"	"Law and Crime"
20007	"Boy Scouts of America release documents containing over 15,000 pages "	"Law and Crime"
20007	"The Boy Scouts of America release documents."	"Law and Crime"
20007	"The Boy Scouts of America release documents containing over 15,000 pages"	"Law and Crime"
20007	"The Boy Scouts of America release documents of sexual abuse by over 1200 scout leaders between 1965-1985. "	"Law and Crime"
20007	"boy scout abuse documents"	"Law and Crime"
20007	"allegations of sexual abuse by over 1200 scout leaders between 1965-1985. "	"Law and Crime"
20007	"Boy Scouts release documents about abuse"	"Law and Crime"
20007	"The Boy Scouts of America release documents "	"Law and Crime"
20007	"when did the Boy Scouts of America release documents containing over 15,000 pages relating to allegations of sexual abuse by over 1200 scout leaders between 1965-1985."	"Law and Crime"
20007	"sexual abuse 1200 scout leaders"	"Law and Crime"
20007	"Boy Scouts of America sex abuse allegations in Montana"	"Law and Crime"
20007	"sexual abuse by over 1200 scout leaders"	"Law and Crime"
20007	"Boy Scouts of America release documents"	"Law and Crime"
20007	"Boy Scouts release documents about sex abuse"	"Law and Crime"
20007	"The Boy Scouts of America release documents containing over 15,000 pages relating"	"Law and Crime"
20007	"Boy Scouts of America release allegations of sexual abuse"	"Law and Crime"
20007	"boy scout sexual abuse documents"	"Law and Crime"
20007	"Boy Scouts of America release documents containing over 15,000 pages relating to allegations of sexual abuse "	"Law and Crime"
20007	"Boy Scouts"	"Law and Crime"
20007	"The Boy Scouts of America release documents containing over 15,000 pages"	"Law and Crime"
20007	"allegations of sexual abuse "	"Law and Crime"
20007	" allegations of sexual abuse "	"Law and Crime"
20007	"allegations of sexual abuse by over 1200 scout leaders between 1965-1985. "	"Law and Crime"
20007	"America release documents "	"Law and Crime"
20007	"The Boy Scouts of America release documents containing over 15,000 pages."	"Law and Crime"
20007	"Boy Scouts of America release documents  relating to allegations of sexual abuse"	"Law and Crime"
20007	"sex abuse boy scouts"	"Law and Crime"
20008	"Car bomb in DamascuS"	"Armed conflicts and attacks"
20008	" car bomb in Damascus kills a judge."	"Armed conflicts and attacks"
20008	"car bomb in Damascus kills a judge."	"Armed conflicts and attacks"
20008	"A car bomb in Damascus kills a judge. "	"Armed conflicts and attacks"
20008	"Car bomb damasbus kills judge"	"Armed conflicts and attacks"
20008	"car bomb Damascus kills judge"	"Armed conflicts and attacks"
20008	"deadly car bombings rock Damascus"	"Armed conflicts and attacks"
20008	"Damascus car bomb  judge"	"Armed conflicts and attacks"
20008	"car bomb in Damascus"	"Armed conflicts and attacks"
20008	"A car bomb in Damascus kills a judge. "	"Armed conflicts and attacks"
20008	"Car bomb in Damascus"	"Armed conflicts and attacks"
20008	"Car bomb damascus judge killed"	"Armed conflicts and attacks"
20008	"who is killed by A car bomb in Damascus?"	"Armed conflicts and attacks"
20008	"car bomb in Damascus kills a judge."	"Armed conflicts and attacks"
20008	"car bomb in damascus"	"Armed conflicts and attacks"
20008	"Damascus bomb kills judge"	"Armed conflicts and attacks"
20008	"car bomb in Damascus"	"Armed conflicts and attacks"
20008	"A car bomb in Damascus kills a judge."	"Armed conflicts and attacks"
20008	"A car bomb in Damascus kills a judge. "	"Armed conflicts and attacks"
20008	"A car bomb in Damascus kills a judge. "	"Armed conflicts and attacks"
20008	"bomb blast kills judge  in Damascus"	"Armed conflicts and attacks"
20009	"where the gunman fire in moscow?"	"Armed conflicts and attacks"
20009	"gunman opens fire in northeast Moscow, killing five and injuring two."	"Armed conflicts and attacks"
20009	"gunman firing in moscow"	"Armed conflicts and attacks"
20010	"An earthquake  in northern Guatemala"	"Disasters and accidents"
20010	"how many people killed in  northern Guatemala earthquake ?"	"Disasters and accidents"
20010	"earthquake in northern Guatemala"	"Disasters and accidents"
20011	"same sex marriage be a crucial factor in voting"	"Politics and elections"
20011	"oters in the states of Maine, Maryland, and Washington approve measures that would allow same-sex marriage"	"Politics and elections"
20011	"same-sex marriage Minnesota votes down."	"Politics and elections"
20011	" same-sex marriage"	"Politics and elections"
20011	"allow same-sex marriage, while Minnesota votes down "	"Politics and elections"
20011	"allow same-sex marriage"	"Politics and elections"
20011	"Voters in the states of Maine, Maryland, and Washington approve measures that would allow same-sex marriage"	"Politics and elections"
20011	"Voters in the states of Maine, Maryland, and Washington approve measures that would allow same-sex marriage"	"Politics and elections"
20011	"Maine maryland washington voter minnesota same sex"	"Politics and elections"
20011	"allow same-sex marriage,"	"Politics and elections"
20011	" Maine,Maryland, Washington and Minnesota vote on same-sex marriage"	"Politics and elections"
20011	"Washington approve measures that would allow same-sex marriage......."	"Politics and elections"
20011	"same-sex marriage Minnesota votes down."	"Politics and elections"
20011	"can gay marriage or same sex marrige be legalised against the law of nature ?"	"Politics and elections"
20011	"same sex marriage voting"	"Politics and elections"
20011	"Maine Maryland Washington allow same-sex marriage"	"Politics and elections"
20011	"Washington approve measures that would allow same-sex marriage......."	"Politics and elections"
20011	"states that backed same sex marriage"	"Politics and elections"
20011	"Washington allow same-sex marriage"	"Politics and elections"
20011	"Voters maine,maryland,washington same sex minnesota opposite sex"	"Politics and elections"
20011	"maine maryland washington same-sex marriage"	"Politics and elections"
20011	"Washington approve measures "	"Politics and elections"
20011	"same-sex marriage Minnesota votes down."	"Politics and elections"
20011	"Voters in the states of Maine, Maryland, and Washington"	"Politics and elections"
20011	"Voters on Same-sex marriage amendment "	"Politics and elections"
20012	"Use of marijuana."	"Politics and elections"
20012	"Colorado and Washington ,referendum legalizing the use of medical marijuana. "	"Politics and elections"
20012	"legalization of recreational use of marijuana."	"Politics and elections"
20012	"Voting on marijuana legalization "	"Politics and elections"
20012	"Voters in the states of Colorado and Washington approve the legalization"	"Politics and elections"
20012	" Colorado and Washington approve the legalization of recreational"	"Politics and elections"
20012	"legalization of medical marijuana usage"	"Politics and elections"
20012	"Voters in the states of Colorado and Washington approve the legalization of recreational use of marijuana"	"Politics and elections"
20012	"state of Massachusetts approves a referendum legalizing the use of medical marijuana. "	"Politics and elections"
20012	"Legal marijuana"	"Politics and elections"
20012	"state of Massachusetts approves a referendum legalizing the use of medical marijuana. "	"Politics and elections"
20012	"Voters in the states of Colorado and Washington approve the legalization "	"Politics and elections"
20012	"medical marijuana referendum ballot"	"Politics and elections"
20012	"which state  approves a referendum legalizing the use of medical marijuana.?"	"Politics and elections"
20012	"legalization of recreational use of marijuana."	"Politics and elections"
20012	"Colorado Washington legalize marijuana Massachusetts legalizes medical"	"Politics and elections"
20012	" legalization of recreational use of marijuana"	"Politics and elections"
20012	"Voters approve marijuana use in 3 states"	"Politics and elections"
20012	"Colorado Washington and Massachusetts to vote on pot"	"Politics and elections"
20012	"ters in the states of Colorado and Washington approve the legalization"	"Politics and elections"
20012	"Massachusetts medical marijuana"	"Politics and elections"
20012	"legalization of recreational use of marijuana."	"Politics and elections"
20012	"Legalization of recreational use of marijuana."	"Politics and elections"
20012	"Colorado Washington legalize marijuana"	"Politics and elections"
20012	"Voters in the states of Colorado and Washington approve the legalization of recreational use of marijuana in voter ballot initiatives, while the state of Massachusetts approves a referendum legalizing the use of medical marijuana. "	"Politics and elections"
20013	"voting in California"	"Politics and elections"
20013	"Voters in the state of California, tax increase,colleges and state universities. "	"Politics and elections"
20013	"California approve a tax increase "	"Politics and elections"
20013	"California school tax increase"	"Politics and elections"
20013	"california tax increase approval schools"	"Politics and elections"
20013	"California approve a tax increase"	"Politics and elections"
20013	"Californians Back Taxes to Avoid Education Cuts"	"Politics and elections"
20013	"Voters in the state of California"	"Politics and elections"
20013	"Voters in the state of California approve a tax increase to fund public schools"	"Politics and elections"
20013	"Voters in the state of California effect in increase to fund public schools, community colleges and state universities."	"Politics and elections"
20014	"state of Florida and its 29 electoral votes remain too close"	"Politics and elections"
20014	"who is  still the projected winner nationwide?"	"Politics and elections"
20014	"florida electoral votes obama"	"Politics and elections"
20014	"US election 2012"	"Politics and elections"
20014	"Who will win in this election?"	"Politics and elections"
20014	"29 electoral votes remain too close in Florida in winning presidential election."	"Politics and elections"
20015	"2012–13 UEFA Champions League group stage"	"Sport"
20015	"Celtic shock Barcelona in the 2012–13 UEFA Champions League group stage"	"Sport"
20015	"celtic vs barcelona uefa champions league"	"Sport"
20015	"Celtic shock Barcelona "	"Sport"
20015	"Celtic shock Barcelona in the 2012–13 UEFA Champions League group stage. "	"Sport"
20015	"Celtic shock Barcelona in the 2012–13 UEFA Champions League"	"Sport"
20015	"Celtic shock barcelona uefa league group stage"	"Sport"
20015	"Celtic shock Barcelona in the 2012–13 UEFA Champions League"	"Sport"
20015	"UEFA Champions League"	"Sport"
20015	"who shock Barcelona in the 2012–13 UEFA Champions League group stage."	"Sport"
20015	"Barcelona in the 2012–13 UEFA Champions League"	"Sport"
20015	"Barcelona"	"Sport"
20015	"UEFA chapions"	"Sport"
20015	"Celtics beat Barcelona in uefa stage"	"Sport"
20015	"celtic vs bartelona"	"Sport"
20015	"Barcelona in the 2012–13 UEFA Champions League group stage."	"Sport"
20015	"Celtic shock Barcelona in the 2012–13 UEFA Champions League group stage"	"Sport"
20015	"Celtic Barcelona UEFA champions league"	"Sport"
20016	"ritish cyclist Bradley Wiggins is hospitalized following a collision with a vehicle. "	"Sport"
20016	"Cyclist Bradley wiggins collision"	"Sport"
20016	"British cyclist Bradley Wiggins is hospitalized following a collision with a vehicle. "	"Sport"
20016	"Bradley Wiggins hospitalized"	"Sport"
20016	"bradley wiggins' aacident"	"Sport"
20016	"shots fired in creflo dollars church"	"Sport"
20017	"A car bomb explodes at Sassine Square"	"Armed conflicts and attacks"
20017	"car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"Sassine Square Lebanon car bomb"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"Sassine Square car bomb"	"Armed conflicts and attacks"
20017	" Sassine Square in the Lebanese capital of Beirut, killing at least eight people"	"Armed conflicts and attacks"
20017	"car bomb at sassine square beirut"	"Armed conflicts and attacks"
20017	"car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"car bomb beirut sassine square"	"Armed conflicts and attacks"
20017	"Sassine Square beirut car bomb"	"Armed conflicts and attacks"
20017	"car bomb explodes Sassine Square "	"Armed conflicts and attacks"
20017	"Sassine Square in the Lebanese"	"Armed conflicts and attacks"
20017	"Lebanese blast"	"Armed conflicts and attacks"
20017	"car bomb explodes Sassine Square"	"Armed conflicts and attacks"
20017	"Beirut car bomb lenanon"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square."	"Armed conflicts and attacks"
20017	"car bomb explodes Sassine Square"	"Armed conflicts and attacks"
20017	"Lebanon blast"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square in the Lebanese capital of Beirut,"	"Armed conflicts and attacks"
20017	"car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square"	"Armed conflicts and attacks"
20017	"Car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	" Sassine Square Beirut car bomb"	"Armed conflicts and attacks"
20017	"car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square in the Lebanese capital of Beirut, killing at least eight people and wounding up to 78 others."	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square in the Lebanese capital of Beirut"	"Armed conflicts and attacks"
20017	"bomb sassine sqaure beirut"	"Armed conflicts and attacks"
20017	"beirut car bomb sassine square"	"Armed conflicts and attacks"
20017	"car bomb explosion at Sassine Square, Beirut"	"Armed conflicts and attacks"
20017	"A car bomb explodes at Sassine Square."	"Armed conflicts and attacks"
20017	" bomb explodes at Sassine Square"	"Armed conflicts and attacks"
20018	"Former Lebanese Prime Minister Saad al-Hariri accuses Syrian president Assad in killing of top intelligence official "	"Armed conflicts and attacks"
20018	"car bombing Wissam al-Hassan"	"Armed conflicts and attacks"
20018	"Wissam al-Hassan, head of Saad al-Hariri's security team, is killed in the blast"	"Armed conflicts and attacks"
20018	"Saad al-Hariri's security team,"	"Armed conflicts and attacks"
20018	"Wissam al-Hassan killed in the blast"	"Armed conflicts and attacks"
20018	"Lebanon blast"	"Armed conflicts and attacks"
20018	"Wissam al-Hassan."	"Armed conflicts and attacks"
20018	"death of wissam al-hassan in the blast"	"Armed conflicts and attacks"
20018	"Syria Al qaida"	"Armed conflicts and attacks"
20018	"wissam al0hassan killed"	"Armed conflicts and attacks"
20018	"Michel Samaha bombs Lebanan"	"Armed conflicts and attacks"
20018	"who killed in  Michel Samaha case"	"Armed conflicts and attacks"
20018	"Wissam al-Hassan, head of Saad al-Hariri's security team, is killed in the blast."	"Armed conflicts and attacks"
20018	"Wissam al-Hassan  is killed in the blast. "	"Armed conflicts and attacks"
20018	"Wissam al-Hassan."	"Armed conflicts and attacks"
20018	"Wissam-al-hassan head saad al hariri,prime investigator michel samasha case killed in blast"	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President Bashar al-Assad "	"Armed conflicts and attacks"
20019	"Syrian President Bashar al-Assad"	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President."	"Armed conflicts and attacks"
20019	"March 14th Alliance blames Syrian President Bashar al-Assad and the Syrian government "	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President Bashar al-Assad."	"Armed conflicts and attacks"
20019	"March 14th Alliance blames Syrian President Bashar al-Assad and the Syrian government"	"Armed conflicts and attacks"
20019	"President Bashar al-Assad and the Syrian government for the attack."	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President."	"Armed conflicts and attacks"
20019	"who is response for attacked"	"Armed conflicts and attacks"
20019	"Murder of Al-Hassan has links to the crisis in Syria: PM Mikati"	"Armed conflicts and attacks"
20019	" March 14th Alliance blames Syrian President Bashar al-Assad"	"Armed conflicts and attacks"
20019	"Alliance blames Syrian President Bashar al-Assad and the Syrian government for the attack."	"Armed conflicts and attacks"
20019	"Syrian President Bashar al-Assad "	"Armed conflicts and attacks"
20019	"The March 14th Alliance"	"Armed conflicts and attacks"
20019	"Who is responsible for Wissam al-Hassan killing?"	"Armed conflicts and attacks"
20019	"why human blood shed is not being stopped by the international peace keeping force ?"	"Armed conflicts and attacks"
20019	"march 14th Syrian attack blame"	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President Bashar al-Assad and the Syrian government for the attack. "	"Armed conflicts and attacks"
20019	" Syrian President Bashar al-Assad"	"Armed conflicts and attacks"
20019	"beirut bombing in syria"	"Armed conflicts and attacks"
20019	"syrian attack blamed by the march 14th alliance"	"Armed conflicts and attacks"
20019	"The March 14th Alliance "	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President Bashar al-Assad."	"Armed conflicts and attacks"
20019	"The March 14th Alliance blames Syrian President and the Syrian government for the attack."	"Armed conflicts and attacks"
20019	" The March 14th Alliance blames Syrian President Bashar al-Assad and the Syrian government for the attack"	"Armed conflicts and attacks"
20019	"Alliance blames Syrian President Bashar al-Assad  for the attack"	"Armed conflicts and attacks"
20020	"libya bani walid assault"	"Armed conflicts and attacks"
20020	" town of Bani Walid, accusing it "	"Armed conflicts and attacks"
20020	"assault against the town of Bani Walid"	"Armed conflicts and attacks"
20020	"The Libyan Army launches a new full-scale assault against the town of Bani Walid, "	"Armed conflicts and attacks"
20020	"Libyan assault against bani walid"	"Armed conflicts and attacks"
20020	"he Libyan Army launches a new full-scale assault against the town of Bani Walid"	"Armed conflicts and attacks"
20020	"LIBYA WAR "	"Armed conflicts and attacks"
20020	"Libyan Army's assault against Bani Walid"	"Armed conflicts and attacks"
20020	"Libyan Army launches a new full-scale assault against the town of Bani Walid"	"Armed conflicts and attacks"
20020	"Confusion rife as Libyan army storms town of Bani Walid"	"Armed conflicts and attacks"
20020	"IPL MATCH"	"Armed conflicts and attacks"
20020	"The Libyan Army launch of full-scale assault"	"Armed conflicts and attacks"
20020	"The Libyan Army launches a new full-scale assault against the town of Bani Walid"	"Armed conflicts and attacks"
20020	"The Libyan Army launches a new full-scale assault against the town of Bani Walid"	"Armed conflicts and attacks"
20020	" full-scale assault against the town of Bani Walid,"	"Armed conflicts and attacks"
20020	"The Libyan Army launches a new full-scale assault against the town of Bani Walid."	"Armed conflicts and attacks"
20020	"new war between army and Gaddaffi supporters"	"Armed conflicts and attacks"
20020	"Libyan army assault gaddafi"	"Armed conflicts and attacks"
20021	"popular U.S. TV series Homeland misrepresented"	"Arts and culture"
20021	" Faddy Abboud says"	"Arts and culture"
20021	"Lebanese minister Faddy U.S TV series misrepresented Birut"	"Arts and culture"
20021	" pursue legal action"	"Arts and culture"
20021	"Lebanese Tourism Minister threatens to sue Homeland over portrayal of Beirut as terror haven. "	"Arts and culture"
20021	"Homeland angers minister over depiction of Beirut"	"Arts and culture"
20021	"Lebanese minister faddy abboud tv series misrepresented beirut"	"Arts and culture"
20021	"Lebanese Tourism Minister talks about US TV series"	"Arts and culture"
20021	"Faddy Abboud says an episode of the popular U.S. TV series Homeland misrepresented Beirut and is set to pursue legal action against its makers "	"Arts and culture"
20021	"what say Lebanese Tourism Minister Faddy Abboud "	"Arts and culture"
20021	"lebanon abboud homeland beirut"	"Arts and culture"
20021	"lebanon homeland tv tourism beirut sue"	"Arts and culture"
20021	"Lebanese Tourism Minister Faddy Abboud,"	"Arts and culture"
20022	"Big Tex destroyed in fire"	"Arts and culture"
20022	"Big Tex, a 52-foot statue and cultural icon in Dallas"	"Arts and culture"
20022	"big tex statue fire"	"Arts and culture"
20022	"big tex destroyed fire"	"Arts and culture"
20022	"Big Tex destroyed by fire"	"Arts and culture"
20022	"Big Tex is destroyed by fire"	"Arts and culture"
20022	"Big Tex, a 52-foot statue and cultural icon in Dallas, Texas, is destroyed."	"Arts and culture"
20022	"52-foot statue destroyed by fire"	"Arts and culture"
20022	"Big Tex statue Fire"	"Arts and culture"
20022	"Big Tex catches fire at the State Fair of Texas "	"Arts and culture"
